Fecha,Magnitud,Latitud,Longitud,Profundidad,Localizacion
2023-11-05,3.6,19.23,-103.75,13.0,"COLIMA, COL"
2023-11-05,3.5,16.68,-94.75,104.1,"UNION HIDALGO, OAX"
2023-11-05,3.8,18.87,-105.12,3.1,"CIHUATLAN, JAL"
2023-11-05,3.9,17.18,-94.7,138.2,"MATIAS ROMERO, OAX"
2023-11-05,3.9,17.21,-94.48,146.1,"MATIAS ROMERO, OAX"
2023-11-05,3.6,16.89,-93.57,154.0,"OCOZOCOAUTLA, CHIS"
2023-11-05,3.1,19.43,-104.34,5.0,"CASIMIRO CASTILLO, JAL"
2023-11-05,4.1,19.62,-92.38,3.1,"CD DEL CARMEN, CAMP"
2023-11-05,3.9,16.56,-99.35,2.9,"SAN MARCOS, GRO"
2023-11-05,3.4,16.65,-96.94,2.7,"OCOTLAN DE MORELOS, OAX"
2023-11-05,3.4,31.42,-115.38,10.3,"SAN FELIPE, BC"
2023-11-05,3.7,16.9,-99.66,42.3,"ACAPULCO, GRO"
2023-11-05,3.9,14.12,-93.22,22.0,"CD HIDALGO, CHIS"
2023-11-05,3.7,15.78,-96.96,13.1,"PUERTO ESCONDIDO, OAX"
2023-11-05,3.8,15.82,-95.0,7.9,"SALINA CRUZ, OAX"
2023-11-05,3.6,16.64,-93.78,148.8,"CINTALAPA, CHIS"
2023-11-05,3.8,15.61,-94.81,31.6,"SALINA CRUZ, OAX"
2023-11-05,3.7,17.05,-95.43,98.5,"MATIAS ROMERO, OAX"
2023-11-05,3.5,18.09,-103.26,5.0,"COALCOMAN, MICH"
2023-11-05,3.7,16.09,-97.47,16.0,"RIO GRANDE, OAX"
2023-11-05,3.9,18.09,-103.5,9.4,"COALCOMAN, MICH"
2023-11-05,3.6,15.94,-93.08,147.5,"PIJIJIAPAN, CHIS"
2023-11-05,3.6,30.82,-115.06,10.0,"SAN FELIPE, BC"
2023-11-05,3.4,14.84,-92.55,78.4,"TAPACHULA, CHIS"
2023-11-05,3.6,15.95,-97.33,2.1,"RIO GRANDE, OAX"
2023-11-05,3.4,18.24,-100.38,54.9,"ARCELIA, GRO"
2023-11-05,3.5,15.55,-94.64,16.1,"SALINA CRUZ, OAX"
2023-11-05,3.2,15.9,-97.02,13.9,"PUERTO ESCONDIDO, OAX"
2023-11-05,3.6,19.37,-104.09,3.4,"COQUIMATLAN, COL"
2023-11-05,3.5,20.49,-105.81,12.6,"PUERTO VALLARTA, JAL"
2023-11-05,3.7,16.13,-97.51,5.0,"RIO GRANDE, OAX"
2023-11-05,3.7,16.24,-93.1,182.7,"VILLAFLORES, CHIS"
2023-11-05,3.5,16.93,-100.46,9.5,"ATOYAC DE ALVAREZ, GRO"
2023-11-05,3.6,17.38,-95.02,126.1,"SAYULA DE ALEMAN, VER"
2023-11-05,3.8,18.08,-103.27,5.0,"COALCOMAN, MICH"
2023-11-05,3.9,14.98,-94.5,18.7,"TONALA, CHIS"
2023-11-05,3.9,15.1,-93.19,64.9,"MAPASTEPEC, CHIS"
2023-11-05,3.3,31.12,-115.89,11.9,"VICENTE GUERRERO, BC"
2023-11-05,3.8,18.32,-102.83,6.8,"COALCOMAN, MICH"
2023-11-05,3.9,18.21,-100.65,54.6,"CD ALTAMIRANO, GRO"
2023-11-05,3.8,16.73,-100.21,2.2,"COYUCA DE BENITEZ, GRO"
2023-11-05,3.5,30.66,-116.23,10.0,"VICENTE GUERRERO, BC"
2023-11-05,3.6,19.9,-106.0,16.1,"PUERTO VALLARTA, JAL"
2023-11-05,3.8,18.17,-105.0,16.8,"MANZANILLO, COL"
2023-11-05,3.6,18.3,-103.49,7.6,"COALCOMAN, MICH"
2023-11-05,3.5,15.87,-94.52,16.1,"UNION HIDALGO, OAX"
2023-11-05,3.5,17.51,-94.56,144.5,"MINATITLAN, VER"
2023-11-05,3.8,14.96,-92.86,81.4,"HUIXTLA, CHIS"
2023-11-05,3.0,31.11,-115.41,9.6,"SAN FELIPE, BC"
2023-11-05,3.6,15.15,-94.56,16.1,"SALINA CRUZ, OAX"
2023-11-05,4.1,16.54,-100.62,10.5,"TECPAN, GRO"
2023-11-05,3.7,18.88,-103.91,12.5,"TECOMAN, COL"
2023-11-05,3.3,19.61,-96.41,5.0,"JOSE CARDEL, VER"
2023-11-05,3.2,18.9,-103.59,46.5,"TECOMAN, COL"
2023-11-05,3.0,27.39,-112.61,5.0,"SANTA ROSALIA, BCS"
2023-11-05,3.4,16.15,-97.5,31.8,"RIO GRANDE, OAX"
